filename,true_label,predicted_label,prob_cls0,prob_cls1,prob_cls2,prob_cls3,prob_cls4,prob_cls5,prob_cls6,prob_cls7,prob_cls8,prob_cls9,prob_cls10,prob_cls11,prob_cls12,prob_cls13,prob_cls14,prob_cls15,prob_cls16,prob_cls17,prob_cls18,prob_cls19,prob_cls20,prob_cls21,prob_cls22
Light Diseases and Disorders of Pigmentation/polymorphous-light-eruption-17.jpg,9,9,0.00574112,0.00378227,0.01257324,0.00555038,0.00463104,0.00770187,0.00274277,0.00584030,0.00347900,0.72949219,0.00299644,0.00458145,0.00575638,0.00819397,0.01577759,0.00212288,0.10803223,0.03292847,0.01537323,0.00551224,0.00292778,0.00586319,0.00815582
Light Diseases and Disorders of Pigmentation/sun-damaged-skin-102.jpg,9,9,0.02650452,0.01046753,0.00194836,0.00862122,0.00811768,0.03121948,0.01573181,0.01026917,0.01029968,0.58349609,0.01282501,0.00664139,0.01780701,0.00643921,0.13537598,0.00735474,0.01464844,0.00318146,0.00294876,0.00460434,0.01367188,0.00675964,0.06097412
Bullous Disease Photos/bullous-pemphigoid-99.jpg,3,10,0.01132202,0.00362396,0.00881958,0.02062988,0.00605774,0.08453369,0.01081848,0.01232910,0.00841522,0.00455093,0.33032227,0.00776291,0.02574158,0.00913239,0.09326172,0.00763321,0.00370598,0.30664062,0.00686646,0.01054382,0.00604630,0.01192474,0.00928497
Acne and Rosacea Photos/perioral-dermatitis-130.jpg,0,0,0.89501953,0.00426102,0.00279808,0.00508118,0.00391388,0.00528717,0.00300789,0.00419235,0.00317764,0.00483704,0.00733185,0.00396347,0.00498581,0.00551605,0.00377655,0.00539780,0.00476074,0.00221252,0.00655746,0.00587082,0.00577927,0.00329971,0.00906372
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-face-39.jpg,1,1,0.00582886,0.88134766,0.00563049,0.00225258,0.00395966,0.00781250,0.00329399,0.00748062,0.00418472,0.00429153,0.00969696,0.00555801,0.00365829,0.00742722,0.00542450,0.00373650,0.00827026,0.00309944,0.01132202,0.00593948,0.00264549,0.00292969,0.00401306
Eczema Photos/lichen-simplex-chronicus-170.jpg,5,2,0.01544189,0.00608063,0.38891602,0.00600052,0.00490570,0.19555664,0.00468826,0.01056671,0.00576019,0.00672150,0.00873566,0.01154327,0.01933289,0.00470734,0.25805664,0.00573730,0.00699997,0.00772095,0.00614548,0.00709534,0.00804901,0.00659561,0.00471878
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-13.jpg,1,1,0.01113892,0.79931641,0.01033020,0.00418091,0.00811005,0.03979492,0.00628662,0.01304626,0.00794220,0.00456238,0.00458527,0.00448990,0.00901794,0.01020813,0.01502991,0.00751877,0.00320625,0.00391388,0.01332855,0.00765228,0.00371552,0.00862122,0.00413513
Tinea Ringworm Candidiasis and other Fungal Infections/tinea-groin-9.jpg,18,18,0.00372696,0.00387764,0.00429535,0.00347519,0.00346756,0.01077271,0.00406647,0.00468826,0.00345612,0.00479507,0.00354958,0.00782013,0.00311089,0.00612640,0.00658798,0.00457382,0.00478363,0.00676346,0.89160156,0.00389290,0.00372696,0.00669098,0.00404739
Nail Fungus and other Nail Disease/lichen-planus-113.jpg,12,14,0.00619125,0.00532150,0.00930023,0.01461792,0.01083374,0.03007507,0.08544922,0.00708771,0.00324631,0.20886230,0.09808350,0.00601196,0.06805420,0.04177856,0.32348633,0.00757599,0.00484848,0.00355148,0.03047180,0.00826263,0.00706863,0.01262665,0.00717926
Tinea Ringworm Candidiasis and other Fungal Infections/tinea-incognito-27.jpg,18,14,0.00397873,0.00686646,0.01609802,0.00416946,0.00327301,0.08044434,0.00218201,0.01064301,0.00242805,0.00520706,0.00687027,0.00770187,0.10815430,0.02198792,0.57470703,0.00648117,0.02378845,0.00819397,0.08020020,0.00601959,0.00825500,0.00515747,0.00732803
Light Diseases and Disorders of Pigmentation/lentigo-adults-48.jpg,9,11,0.00254440,0.00271225,0.00572205,0.00234985,0.00283432,0.00750732,0.00201416,0.00397491,0.00411224,0.00668716,0.00449753,0.90087891,0.00437164,0.00405121,0.00530243,0.00284767,0.00681305,0.00255775,0.00349808,0.00407028,0.00429916,0.01376343,0.00281143
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-lesion-31.jpg,1,1,0.00321770,0.64746094,0.00242996,0.00224495,0.00320816,0.06045532,0.00345421,0.00768661,0.00592041,0.00747681,0.06118774,0.00568390,0.00390625,0.04431152,0.00614548,0.00587082,0.09112549,0.00585175,0.00606918,0.00387955,0.00625610,0.00448227,0.01159668
Vascular Tumors/cherry-angioma-4.jpg,20,3,0.05404663,0.00594711,0.04876709,0.60400391,0.02081299,0.01003265,0.00997162,0.01367188,0.00416946,0.00542831,0.00302505,0.01183319,0.00650787,0.01355743,0.03240967,0.02156067,0.06567383,0.00529861,0.01067352,0.02441406,0.00477219,0.01652527,0.00675201
Melanoma Skin Cancer Nevi and Moles/atypical-nevi-23.jpg,11,11,0.00329590,0.00701904,0.00342369,0.00222397,0.00255585,0.01117706,0.00269127,0.00585556,0.00285912,0.00375748,0.00359154,0.89892578,0.00376701,0.00316811,0.00383186,0.00266838,0.01481628,0.00437546,0.00386810,0.00348282,0.00335884,0.00660324,0.00286102
Nail Fungus and other Nail Disease/pincer-nails-3.jpg,12,12,0.00396729,0.00347137,0.00498962,0.00279999,0.00561523,0.00582886,0.00522232,0.00792694,0.00423050,0.00493622,0.00387573,0.00348282,0.88574219,0.00558472,0.01280975,0.00374031,0.00453568,0.00515366,0.00711060,0.00531769,0.00454712,0.00487518,0.00403976
Bullous Disease Photos/grovers-disease-55.jpg,3,3,0.00774002,0.00218582,0.00993347,0.83496094,0.00265121,0.01255035,0.01084900,0.00952911,0.00583649,0.00160408,0.00320435,0.00477219,0.00578690,0.00557709,0.00608063,0.00471497,0.00896454,0.02973938,0.01652527,0.00252533,0.00485611,0.00202751,0.00751877
Seborrheic Keratoses and other Benign Tumors/skin-tags-polyps-70.jpg,16,16,0.00434494,0.00535583,0.00407028,0.00360870,0.00326157,0.00382996,0.00480652,0.00286674,0.00434113,0.00307655,0.00254822,0.00354385,0.00365829,0.00416565,0.00533295,0.00300407,0.90429688,0.00783539,0.00364685,0.00582504,0.00333023,0.00461960,0.00851440
Poison Ivy Photos and other Contact Dermatitis/shoe-allergy-6.jpg,13,13,0.00722885,0.01672363,0.07775879,0.00308800,0.00489807,0.24926758,0.00304031,0.00704956,0.00443268,0.00533295,0.00709915,0.01091003,0.00971985,0.49560547,0.01040649,0.01524353,0.03393555,0.00590134,0.00717926,0.00457382,0.01264954,0.00410080,0.00380707
Tinea Ringworm Candidiasis and other Fungal Infections/tinea-versicolor-176.jpg,18,9,0.00232887,0.00531769,0.00322723,0.00645447,0.01256561,0.00830841,0.01861572,0.00366402,0.00434494,0.77783203,0.00220108,0.01684570,0.00223923,0.00778961,0.02853394,0.00946045,0.00853729,0.00719833,0.04449463,0.01239777,0.00311470,0.00522995,0.00914001
Bullous Disease Photos/dariers-disease-51.jpg,3,3,0.21887207,0.01235962,0.00730515,0.58935547,0.01255035,0.00531006,0.00682449,0.01426697,0.00584030,0.02810669,0.00580597,0.00329781,0.00457764,0.00786591,0.00582886,0.00889587,0.00845337,0.01750183,0.01435089,0.00279045,0.00266838,0.00665665,0.01067352
Seborrheic Keratoses and other Benign Tumors/keratosis-punctata-2.jpg,16,16,0.00298882,0.00654221,0.00445175,0.00228500,0.00235176,0.10601807,0.00363731,0.00698853,0.00642014,0.00485992,0.00920105,0.00337982,0.00751114,0.00885010,0.00643158,0.00186729,0.74755859,0.00417328,0.02374268,0.00598526,0.00983429,0.00355911,0.02162170
Lupus and other Connective Tissue diseases/rheumatoid-nodule-8.jpg,10,10,0.01180267,0.01744080,0.00495148,0.01681519,0.06530762,0.01366425,0.00449753,0.00855255,0.00470734,0.00312424,0.34594727,0.01539612,0.01014709,0.00873566,0.02548218,0.03155518,0.00427628,0.34594727,0.00990295,0.00746918,0.00427628,0.00702286,0.03308105
Seborrheic Keratoses and other Benign Tumors/keratoacanthoma-151.jpg,16,5,0.01012421,0.05187988,0.00502777,0.00798798,0.00434113,0.33959961,0.00441742,0.01226044,0.00828552,0.00471115,0.00625992,0.00662231,0.01362610,0.00739288,0.15917969,0.00984192,0.04269409,0.01647949,0.01065063,0.00744629,0.01450348,0.00340462,0.25341797
Poison Ivy Photos and other Contact Dermatitis/rhus-dermatitis-4.jpg,13,13,0.00823975,0.01479340,0.00567627,0.00497437,0.00508118,0.01254272,0.00637054,0.00673676,0.00757599,0.00505066,0.00307846,0.00624847,0.00768661,0.75195312,0.02932739,0.00353622,0.00595856,0.00789642,0.00561905,0.08837891,0.00421524,0.00186920,0.00739288
Eczema Photos/prurigo-nodularis-44.jpg,5,3,0.00395584,0.10302734,0.00519943,0.59033203,0.01281738,0.07470703,0.00620270,0.01281738,0.00500870,0.06246948,0.00838470,0.00939941,0.00208282,0.01177979,0.00823975,0.00735855,0.00666046,0.01206970,0.01382446,0.00714493,0.00942230,0.02030945,0.00675201
Scabies Lyme Disease and other Infestations and Bites/tick-bite-18.jpg,15,15,0.00606918,0.07305908,0.01689148,0.00323296,0.00641632,0.03308105,0.00617981,0.00688934,0.00341034,0.00473022,0.00577927,0.04681396,0.00526047,0.01139069,0.08502197,0.38403320,0.16442871,0.04248047,0.01383209,0.00805664,0.04797363,0.01004028,0.01498413
Tinea Ringworm Candidiasis and other Fungal Infections/tinea-foot-plantar-48.jpg,18,18,0.00362015,0.00494003,0.01486969,0.00345421,0.00208664,0.02621460,0.00390434,0.00558090,0.00377655,0.00371361,0.00646973,0.00527954,0.00534821,0.00669861,0.01916504,0.00496674,0.00430679,0.00385475,0.85449219,0.00653839,0.00457001,0.00339317,0.00264359
Eczema Photos/stasis-dermatitis-105.jpg,5,5,0.00416565,0.00438690,0.00384140,0.00451660,0.00337219,0.90771484,0.00512314,0.00479889,0.00471878,0.00521469,0.00435257,0.00415802,0.00391006,0.00257492,0.00263977,0.00460434,0.00394821,0.00355530,0.00416565,0.00568771,0.00322914,0.00526428,0.00424576
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/ctcl-54.jpg,1,1,0.00996399,0.67675781,0.00668335,0.00287247,0.00721741,0.00675583,0.00815582,0.00891113,0.00634766,0.00739288,0.00399780,0.00774765,0.00731659,0.01266479,0.00758362,0.01367188,0.00873566,0.15368652,0.00693130,0.00835419,0.00730896,0.01477051,0.00616074
Vasculitis Photos/vasculitis-106.jpg,21,21,0.00784302,0.00742340,0.00518036,0.00459290,0.00260925,0.00668335,0.00507736,0.00628662,0.00820160,0.00531006,0.00701904,0.00508881,0.00828552,0.00578690,0.00923157,0.00333786,0.00664139,0.00380898,0.00428772,0.00529861,0.00522232,0.87158203,0.00521851
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-hand-12.jpg,1,1,0.00713348,0.86474609,0.00788879,0.00710297,0.00426102,0.00642776,0.00535583,0.00793457,0.00405884,0.01065826,0.00702667,0.00413132,0.00654984,0.00638199,0.01216125,0.00491333,0.00420761,0.00304985,0.00702286,0.00682068,0.00332260,0.00493240,0.00384903
Eczema Photos/stasis-dermatitis-183.jpg,5,13,0.00639725,0.00663376,0.16857910,0.00387001,0.00224686,0.14758301,0.00181866,0.01770020,0.00304222,0.01181030,0.01065826,0.00441360,0.01476288,0.54199219,0.00889587,0.00281334,0.00370407,0.01049805,0.00878143,0.00761032,0.00432587,0.00684738,0.00500107
Eczema Photos/eczema-hand-138.jpg,5,5,0.00435638,0.00276375,0.00742340,0.00334930,0.00304985,0.88818359,0.00396347,0.00595474,0.00550079,0.00375748,0.00553894,0.00603485,0.00540543,0.00527573,0.00780487,0.00469589,0.00640869,0.00295067,0.00343513,0.00884247,0.00558090,0.00428772,0.00560760
Acne and Rosacea Photos/rosacea-nose-18.jpg,0,0,0.87988281,0.01466370,0.00426483,0.00445175,0.00409698,0.00264359,0.00670624,0.00911713,0.00330544,0.00455475,0.00514603,0.00394440,0.00527191,0.00610352,0.00699997,0.00458527,0.00456619,0.00349808,0.00865936,0.00715637,0.00334167,0.00434875,0.00249863
Poison Ivy Photos and other Contact Dermatitis/rhus-dermatitis-76.jpg,13,13,0.00623322,0.00622559,0.00326920,0.01087952,0.00673676,0.00894928,0.00823975,0.00687790,0.00570297,0.00442123,0.00763702,0.00482559,0.00587082,0.85058594,0.00666428,0.01210785,0.00526428,0.00672150,0.00578308,0.00759506,0.00821686,0.00422668,0.00692749
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/basal-cell-carcinoma-pigmented-58.jpg,1,16,0.00629044,0.20727539,0.00449753,0.00325203,0.00573349,0.00863647,0.00343323,0.00779724,0.00349998,0.00279236,0.00330925,0.03013611,0.00447464,0.00545502,0.00594330,0.00307274,0.66015625,0.00479889,0.00940704,0.00418472,0.00712967,0.00491333,0.00384712
Seborrheic Keratoses and other Benign Tumors/nevus-sebaceous-16.jpg,16,16,0.00468445,0.01088715,0.00479507,0.01957703,0.00646973,0.02064514,0.00277710,0.01554108,0.00216484,0.00244713,0.00627518,0.02497864,0.00311279,0.00679398,0.01332092,0.00359154,0.81591797,0.00156116,0.01683044,0.00277710,0.00469208,0.00420380,0.00607681
Melanoma Skin Cancer Nevi and Moles/melanocytic-nevi-33.jpg,11,11,0.00422287,0.00715256,0.00298882,0.00247574,0.00281143,0.00569534,0.00420380,0.00301743,0.00571823,0.00304413,0.00282097,0.89306641,0.00254250,0.00386810,0.00293159,0.00206375,0.01745605,0.00617218,0.00469589,0.00569153,0.00290108,0.00418091,0.01029205
Psoriasis pictures Lichen Planus and related diseases/psoriasis-erythrodermic-17.jpg,14,14,0.00632477,0.01194763,0.01142883,0.00617218,0.00669479,0.11273193,0.03134155,0.00596619,0.00387383,0.01631165,0.00340271,0.00984192,0.02447510,0.00463104,0.70556641,0.00666428,0.00387955,0.00387192,0.00537872,0.00284958,0.00887299,0.00330925,0.00468063
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/basal-cell-carcinoma-pigmented-51.jpg,1,1,0.00675964,0.86230469,0.00606918,0.00294304,0.00498581,0.00458145,0.00641632,0.00717545,0.00504684,0.00548553,0.00537872,0.00623703,0.00719452,0.00613785,0.00937653,0.00499344,0.01136017,0.00385094,0.00535965,0.00619888,0.00559998,0.00912476,0.00727463
Acne and Rosacea Photos/hidradenitis-suppurativa-2.jpg,0,0,0.81884766,0.00261497,0.00343323,0.00370026,0.00486755,0.01734924,0.00438309,0.06750488,0.00413513,0.00306320,0.00322151,0.00436020,0.00780106,0.00901794,0.00587082,0.00848389,0.00292587,0.00647736,0.00558853,0.00479126,0.00333023,0.00414658,0.00405121
Seborrheic Keratoses and other Benign Tumors/porokeratosis-21.jpg,16,16,0.00231171,0.03295898,0.00452805,0.00230408,0.00380325,0.00533676,0.00209236,0.00530243,0.00307274,0.00214005,0.00827789,0.00250435,0.00622940,0.00379562,0.01152039,0.00862885,0.84130859,0.02336121,0.00337791,0.00278282,0.00498199,0.00419235,0.01506805
Atopic Dermatitis Photos/IchthosisIMG024-GP3.jpg,2,20,0.00399780,0.02778625,0.04473877,0.02330017,0.00221634,0.02416992,0.02545166,0.00608444,0.02597046,0.01242065,0.00538635,0.01608276,0.22607422,0.00439835,0.03295898,0.00591660,0.02694702,0.05355835,0.01542664,0.00436783,0.37573242,0.00319099,0.03375244
Warts Molluscum and other Viral Infections/herpes-type-1-recurrent-71.jpg,22,22,0.00721359,0.00782013,0.00574112,0.00234032,0.00492859,0.01683044,0.00395584,0.01072693,0.01617432,0.00379753,0.01753235,0.00440216,0.00786591,0.01358032,0.00335312,0.00361061,0.00603867,0.00148582,0.00727463,0.00802612,0.00393677,0.00189877,0.84130859
