disease,AUC,NPV,weighted_NPV,support_pos,support_neg
Acne and Rosacea Photos,0.6306289521228545,0.9403176229508197,0.8670095024209207,312,3690
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,0.6118711856040209,0.9442724458204335,0.8763188065410019,288,3714
Atopic Dermatitis Photos,0.6410691717125988,0.9767088607594937,0.9466900726851765,123,3879
Bullous Disease Photos,0.6399647747106088,0.9780580075662043,0.9504416770177333,113,3889
Cellulitis Impetigo and other Bacterial Infections,0.5202986573320271,0.9829059829059829,0.9649769132527752,73,3929
Eczema Photos,0.6332837336796546,0.9395109395109396,0.8669699899085207,309,3693
Exanthems and Drug Eruptions,0.6247902924104254,0.978168130489335,0.9534817283955263,101,3901
Hair Loss Photos Alopecia and other Hair Diseases,0.5458523592085236,0.9862120832288794,0.9714262948746234,60,3942
Herpes HPV and other STDs Photos,0.6380228758169935,0.9790826612903226,0.9541285304928181,102,3900
Light Diseases and Disorders of Pigmentation,0.639588320464195,0.9709889001009082,0.9362933946750137,143,3859
Lupus and other Connective Tissue diseases,0.5732028300157631,0.9760825780463243,0.9504732150541044,105,3897
Melanoma Skin Cancer Nevi and Moles,0.6392132677871047,0.9775592536560767,0.9492242028254658,116,3886
Nail Fungus and other Nail Disease,0.6306312672764571,0.9494153533299441,0.8874969607214696,261,3741
Poison Ivy Photos and other Contact Dermatitis,0.569369492585139,0.9856675886346492,0.9696584948662205,65,3937
Psoriasis pictures Lichen Planus and related diseases,0.5684908156911581,0.923943661971831,0.8426772529228344,352,3650
Scabies Lyme Disease and other Infestations and Bites,0.6265978999029846,0.9776325709977381,0.9512496830247856,108,3894
Seborrheic Keratoses and other Benign Tumors,0.6726996893318683,0.9323907455012853,0.852478195349626,343,3659
Systemic Disease,0.6312269309637731,0.9695508754123319,0.9327263544071659,152,3850
Tinea Ringworm Candidiasis and other Fungal Infections,0.5655233154118114,0.9303153611393693,0.8547650132207548,325,3677
Urticaria Hives,0.5444034075978155,0.9879849812265332,0.9749007223547176,53,3949
Vascular Tumors,0.7379104814512746,0.9817675360850848,0.9520839099315878,121,3881
Vasculitis Photos,0.576526510013808,0.9766272932897713,0.9510036386682256,105,3897
Warts Molluscum and other Viral Infections,0.6139020856331808,0.9451110543783507,0.8808756203976132,272,3730
